P_k,k
1.71314e+07,1
1.08948e+07,2
1.50807e+07,3
1.12428e+07,4
8.04204e+06,5
6.55403e+06,6
6.57093e+06,7
4.5618e+06,8
4.55132e+06,9
3.47823e+06,10
3.18618e+06,11
2.7397e+06,12
2.59422e+06,13
2.09624e+06,14
1.79416e+06,15
1.9483e+06,16
1.45045e+06,17
1.59138e+06,18
1.40401e+06,19
1.26569e+06,20
1.21658e+06,21
1.03585e+06,22
936511,23
843059,24
771587,25
756078,26
659363,27
608387,28
564934,29
509052,30
473706,31
465467,32
440249,33
396909,34
394347,35
355860,36
333023,37
320013,38
303582,39
285128,40
281542,41
278427,42
276534,43
259082,44
248758,45
248047,46
239515,47
237055,48
231523,49
216979,50
211036,51
200824,52
194460,53
190742,54
178488,55
165799,56
148609,57
128251,58
122105,59
111699,60
106353,61
96126.5,62
92565.9,63
88513.3,64
79466.1,65
77570.1,66
67994,67
63167.1,68
53784.1,69
50523.1,70
42423.6,71
31019.5,72
26150.6,73
23409.3,74
22123.3,75
18855.2,76
15424.1,77
10947.8,78
6045.02,79
3933.77,80
2550.37,81
2139.42,82
1698.19,83
1259.86,84
1628.7,85
3798.67,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
